Topic_ID,Count,Top_Words
349,30,"ring(0.370), purple ring(0.370), planet orange(0.370), planet(0.370), orange purple(0.370), whats(0.108), purple(0.073), orange(0.062), the(0.010), v(0.009)"
350,30,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
351,30,"table(0.765), table time(0.634), time(0.298), la liga(0.032), top(0.023), liga(0.023), about(0.022), of the(0.019), bhai(0.014), la(0.006)"
352,30,"robbery(1.955), clean(0.083), started(0.081), liverpool(0.069), doing(0.057), bro(0.046), this is(0.045), who(0.034), with(0.030), barca(0.009)"
353,30,"league(0.142), champions(0.040), años que(0.038), check(0.037), king(0.032), los clásicos(0.031), mucho(0.025), ladrones(0.023), que no(0.022), table(0.020)"
354,30,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
355,30,"referee(0.457), white(0.063), vardrid(0.059), post match(0.045), interviews(0.043), take on(0.023), players(0.022), passing(0.020), hua(0.018), rigged(0.018)"
356,30,"viniiiiii(0.631), trent(0.443), fede(0.291), ou(0.237), sub(0.196), bring(0.194), 7(0.184), est(0.094), and(0.068), a(0.016)"
357,30,"madrid madrid(0.794), madrid(0.080), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
358,30,"vamoss(0.689), vamosss(0.578), viva(0.323), vamos vamos(0.247), va(0.221), vamos(0.189), van(0.071), (0.000), (0.000), (0.000)"
359,30,"playing good(0.165), was playing(0.141), was good(0.106), bhai vini(0.081), vini was(0.059), save(0.052), de jong(0.037), i would(0.026), pedri and(0.026), prime(0.024)"
360,30,"it was(0.206), hay que(0.177), poli(0.149), hay(0.114), if(0.105), se(0.071), it(0.070), que(0.068), was(0.053), a(0.030)"
